Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
Serial Mom,1994,R,13 Apr 1994,95 min,"Comedy, Crime, Thriller",John Waters,John Waters,"Kathleen Turner, Sam Waterston, Ricki Lake","She's the perfect all-American parent: a great cook and homemaker, a devoted recycler, and a woman who'll literally kill to keep her children happy.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BYjM0N2ViMzUtMTc1OS00YmEzLWE2NWYtNjU5NTY4NjRlOTI0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,6.8,"34,623",tt0111127,movie,N/A,"$7,820,688",N/A,N/A,True,,
The Shadow,1994,PG-13,01 Jul 1994,108 min,"Action, Adventure, Crime",Russell Mulcahy,"Walter B. Gibson, David Koepp","Alec Baldwin, John Lone, Penelope Ann Miller","In 1930s New York City, The Shadow (Alec Baldwin) battles his nemesis, Shiwan Khan (John Lone), who is building an atomic bomb.",English,United States,4 nominations,https://m.media-amazon.com/images/M/MV5BNDQ3NDlkYmUtMzFiYy00NDI1LWFlZWItZTVkNTUxYWYyNTYxXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,6.0,"27,460",tt0111143,movie,N/A,"$32,063,435",N/A,N/A,True,,
Shadowlands,1993,PG,14 Jan 1994,131 min,"Biography, Drama, Romance",Richard Attenborough,William Nicholson,"Anthony Hopkins, Debra Winger, Julian Fellowes","C.S. Lewis, a world-renowned Christian theologian, writer and professor, leads a passionless life until he meets spirited poet Joy Gresham from the U.S.",English,United Kingdom,Nominated for 2 Oscars. 7 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BODg5NmZkOGQtMmZjYi00M2I0LWI2MzMtMzg5NTZkZDgzMjAzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",N/A,7.3,"20,646",tt0108101,movie,N/A,"$25,842,377",N/A,N/A,True,,
Short Cuts,1993,R,01 Oct 1993,188 min,"Comedy, Drama",Robert Altman,"Raymond Carver, Robert Altman, Frank Barhydt","Andie MacDowell, Julianne Moore, Tim Robbins",The day-to-day lives of several suburban Los Angeles residents.,English,United States,Nominated for 1 Oscar. 17 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BYThkMTY5ZTgtYzc0Yy00MTZiLWE5YjUtMDAwM2E4Yjg5MmM5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,7.6,"47,858",tt0108122,movie,N/A,"$6,110,979",N/A,N/A,True,,
A Simple Twist of Fate,1994,PG-13,02 Sep 1994,106 min,"Comedy, Drama",Gillies MacKinnon,"George Eliot, Steve Martin","Steve Martin, Gabriel Byrne, Laura Linney","His life was emotionally closed off from the world, until an orphaned baby showed up at his house.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BY2EzMTA3ZmEtNmRjYi00ZTM5LTk1OTItZDcwNWI1YjY5MWEzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}]",N/A,6.3,"6,123",tt0111194,movie,N/A,"$3,430,583",N/A,N/A,True,,
Sirens,1994,R,25 Mar 1994,98 min,"Comedy, Drama, Romance",John Duigan,John Duigan,"Hugh Grant, Tara Fitzgerald, Sam Neill","When a painting is termed blasphemous, a young minister and his wife visit the artist... and the three sexually playful models living with him.",English,"Australia, United Kingdom",1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BN2JkMzkxYTEtODljMC00Mzk5LThkYTQtMWM1NTdjMDhlMWUwXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,5.9,"11,598",tt0111201,movie,N/A,"$7,770,731",N/A,N/A,True,,
Six Degrees of Separation,1993,R,08 Dec 1993,112 min,"Comedy, Drama, Mystery",Fred Schepisi,John Guare,"Will Smith, Stockard Channing, Donald Sutherland","An affluent New York City couple finds their lives touched, intruded upon, and compelled by a mysterious young black man who is never quite who he says he is.","English, Italian","United States, Italy",Nominated for 1 Oscar. 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ5ODk1NTI4NV5BMl5BanBnXkFtZTcwNDYzMjI3NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,6.8,"22,883",tt0108149,movie,N/A,"$6,405,918",N/A,N/A,True,,
Sleepless in Seattle,1993,PG,25 Jun 1993,105 min,"Comedy, Drama, Romance",Nora Ephron,"Jeff Arch, Nora Ephron, David S. Ward","Tom Hanks, Meg Ryan, Ross Malinger",A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.,English,United States,Nominated for 2 Oscars. 4 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BNWY1MDJkZGUtZTE2OS00ODZiLTlmNzQtMDZjNzM2ZjkwM2QxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,6.8,"193,271",tt0108160,movie,N/A,"$126,808,165",N/A,N/A,True,,
Sliver,1993,R,21 May 1993,107 min,"Drama, Thriller",Phillip Noyce,"Ira Levin, Joe Eszterhas","Sharon Stone, William Baldwin, Tom Berenger",A woman moves into an exclusive New York City apartment building that she soon discovers houses tenants with all manner of shocking secrets.,English,United States,4 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BYWM4NTI2N2MtMWY2Mi00YzUwLTg4MDEtOWRjMTY4Njg0MDU4XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,5.1,"34,521",tt0108162,movie,N/A,"$36,300,000",N/A,N/A,True,,
Blade Runner,1982,R,25 Jun 1982,117 min,"Action, Drama, Sci-Fi",Ridley Scott,"Hampton Fancher, David Webb Peoples, Philip K. Dick","Harrison Ford, Rutger Hauer, Sean Young",A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,"English, German, Cantonese, Japanese, Hungarian, Arabic, Korean","United States, United Kingdom",Nominated for 2 Oscars. 13 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BNzQzMzJhZTEtOWM4NS00MTdhLTg0YjgtMjM4MDRkZjUwZDBlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,8.1,"831,910",tt0083658,movie,N/A,"$32,914,489",N/A,N/A,True,,
Son in Law,1993,PG-13,02 Jul 1993,95 min,"Comedy, Drama, Romance",Steve Rash,"Patrick J. Clifton, Susan McMartin, Peter M. Lenkov","Pauly Shore, Carla Gugino, Lane Smith","Having gotten a taste of college life, a drastically changed farm girl returns home for Thanksgiving break with her best friend, a flamboyant party animal who is clearly a fish out of water in a small farm town.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNGZlYzQ2MzAtZGE1OS00MDljLTkyYjQtN2VhOTQyZGJmYTI0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,5.9,"22,884",tt0108186,movie,N/A,"$36,448,400",N/A,N/A,True,,
So I Married an Axe Murderer,1993,PG-13,30 Jul 1993,93 min,"Comedy, Romance",Thomas Schlamme,Robbie Fox,"Mike Myers, Nancy Travis, Anthony LaPaglia",A San Francisco poet who fears commitment suspects his girlfriend may have a knack for killing off her significant others.,"English, Russian",United States,N/A,https://m.media-amazon.com/images/M/MV5BN2VjOTA4MDEtYmZiYy00MTJiLWEwZTItNzM4Y2IwMzdjNjgzXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.5,"43,299",tt0108174,movie,N/A,"$11,585,483",N/A,N/A,True,,
Striking Distance,1993,R,17 Sep 1993,102 min,"Action, Crime, Mystery",Rowdy Herrington,"Rowdy Herrington, Marty Kaplan","Bruce Willis, Sarah Jessica Parker, Dennis Farina","Coming from a police family, Tom Hardy ends up fighting his uncle after the murder of his father. Tom believes the killer is another cop and goes on the record with his allegations. Demoted then to river duty, the killer taunts Tom.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzA2ZjI3ZDEtN2UyOS00Njg5LTk0ZTctYjgzMjU1MzJhZDFhXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,5.9,"45,879",tt0108238,movie,N/A,"$24,107,867",N/A,N/A,True,,
Harem,1985,Not Rated,20 Nov 1985,113 min,"Drama, Mystery, Romance",Arthur Joffé,"Arthur Joffé, Tom Rayfiel, Richard Prieur","Nastassja Kinski, Ben Kingsley, Dennis Goldson","A young American woman is kidnapped by an Arabian sheik who holds her captive in his harem. At first, she frantically tries to escape, but as they slowly get to know and appreciate each other, the difference between captor and cap...",English,France,2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMjAzODg4NzY1MV5BMl5BanBnXkFtZTgwOTU0MzkwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,821,tt0089256,movie,N/A,N/A,N/A,N/A,True,,
Super Mario Bros.,1993,PG,28 May 1993,104 min,"Adventure, Comedy, Family","Annabel Jankel, Rocky Morton","Parker Bennett, Terry Runte, Ed Solomon","Bob Hoskins, John Leguizamo, Dennis Hopper","Two Brooklyn plumbers, Mario and Luigi, must travel to another dimension to rescue a princess from the evil dictator King Koopa and stop him from taking over the world.",English,"United Kingdom, United States, Japan, France",2 nominations,https://m.media-amazon.com/images/M/MV5BZGVmZTUyZDAtYjg0MC00NmE5LWE2OTAtM2FjNGI1NWUyMzE0XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,4.1,"63,608",tt0108255,movie,N/A,"$20,915,465",N/A,N/A,True,,
Surviving the Game,1994,R,15 Apr 1994,96 min,"Action, Adventure, Crime",Ernest R. Dickerson,Eric Bernt,"Rutger Hauer, Ice-T, Charles S. Dutton","A homeless man is hired as a survival guide for a group of wealthy businessmen on a hunting trip in the mountains, unaware that they are killers who hunt humans for sport, and that he is their new prey.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BYWVhODdmOTYtODU0Ny00NTAxLWI4MjItMzIwNTE1MmIyMWVlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,6.2,"13,457",tt0111323,movie,N/A,"$7,727,256",N/A,N/A,True,,
Terminal Velocity,1994,PG-13,23 Sep 1994,102 min,"Action, Mystery, Romance",Deran Sarafian,David Twohy,"Charlie Sheen, Nastassja Kinski, James Gandolfini",A maverick skydiver and a former KGB agent team up to stop the Russian mafia from stealing gold.,English,"United States, Canada, Japan, United Kingdom",N/A,https://m.media-amazon.com/images/M/MV5BNjJiZWE3MTItZjFjNi00NDYwLWIzNmQtZjc2NzA4MzdiN2Y4XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}]",N/A,5.5,"14,763",tt0111400,movie,N/A,"$16,487,349",N/A,N/A,True,,
Thirty Two Short Films About Glenn Gould,1993,Not Rated,26 Nov 1993,98 min,"Biography, Drama, Music",François Girard,"François Girard, Don McKellar, Glenn Gould","Colm Feore, Derek Keurvorst, Katya Ladan","A collection of vignettes highlighting different aspects of the life, work, and character of the acclaimed Canadian classical pianist.","English, French","Canada, Netherlands, Portugal, Finland",7 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BZWQxMzU0NTQtNzFjNi00MWEwLWEyOTEtZGU0OTMwODIyMjE4XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",N/A,7.3,"3,927",tt0108328,movie,N/A,"$1,319,521",N/A,N/A,True,,
Threesome,1994,R,08 Apr 1994,93 min,"Comedy, Drama, Romance",Andrew Fleming,Andrew Fleming,"Lara Flynn Boyle, Josh Charles, Stephen Baldwin","A girl named Alex is by mistake housed with 2 guys, Stuart and Eddy, in a college dorm suite. After initial problems they become friends. Stuart has the hots for Alex, Alex for Eddy and Eddy for Stuart. Can it work?",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjQ2ZWM1MzktMmZjZC00OWY2LWI1MzQtNTM4YzhiY2Q2MTg4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}]",N/A,6.3,"13,779",tt0111418,movie,N/A,"$14,815,317",N/A,N/A,True,,
The Nightmare Before Christmas,1993,PG,29 Oct 1993,76 min,"Animation, Family, Fantasy",Henry Selick,"Tim Burton, Michael McDowell, Caroline Thompson","Danny Elfman, Chris Sarandon, Catherine O'Hara","Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",English,United States,Nominated for 1 Oscar. 7 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BNWE4OTNiM2ItMjY4Ni00ZTViLWFiZmEtZGEyNGY2ZmNlMzIyXkEyXkFqcGdeQXVyMDU5NDcxNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.9,"379,071",tt0107688,movie,N/A,"$87,620,624",N/A,N/A,True,,
The Three Musketeers,2011,PG-13,21 Oct 2011,110 min,"Action, Adventure, Fantasy",Paul W.S. Anderson,"Alex Litvak, Andrew Davies, Alexandre Dumas","Logan Lerman, Matthew Macfadyen, Ray Stevenson","The young and confident D'Artagnan, along with three former legendary but now down-on-their-luck Musketeers; unite and defeat a beautiful double agent and her villainous employer from seizing the French throne, and engulfing Europ...",English,"United States, Germany, France, United Kingdom",5 nominations,https://m.media-amazon.com/images/M/MV5BMTM3OTc2OTM2OF5BMl5BanBnXkFtZTcwMDM1MjU1NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,5.7,"112,638",tt1509767,movie,N/A,"$20,374,484",N/A,N/A,True,,
Tombstone,1993,R,25 Dec 1993,130 min,"Biography, Drama, History","George P. Cosmatos, Kevin Jarre",Kevin Jarre,"Kurt Russell, Val Kilmer, Sam Elliott","A successful lawman's plans to retire anonymously in Tombstone, Arizona, are disrupted by the kind of outlaws he was famous for eliminating.","English, Latin, Spanish",United States,2 nominations,https://m.media-amazon.com/images/M/MV5BODRkYzA4MGItODE2MC00ZjkwLWI2NDEtYzU1NzFiZGU1YzA0XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,7.8,"169,871",tt0108358,movie,N/A,"$56,505,065",N/A,N/A,True,,
Trial by Jury,1994,R,09 Sep 1994,107 min,"Crime, Drama, Thriller",Heywood Gould,"Jordan Katz, Heywood Gould","Joanne Whalley, Armand Assante, Gabriel Byrne","Valerie is a juror in the trial of a mob boss. When her young son's life is threatened, she has no option other than to see that justice isn't done.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjgyMjYxYzMtOTY4Zi00ZjYxLThkNmEtZmY1NWExZDJjMWU3XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}]",N/A,5.4,"2,095",tt0111488,movie,N/A,"$6,971,777",N/A,N/A,True,,
True Romance,1993,R,10 Sep 1993,119 min,"Crime, Drama, Romance",Tony Scott,"Quentin Tarantino, Roger Avary","Christian Slater, Patricia Arquette, Dennis Hopper","In Detroit, a pop-culture nerd steals cocaine from his new wife's pimp and tries to sell it in Hollywood, prompting the mobsters who own the drugs to pursue the couple.","English, Italian","United States, France",1 win & 10 nominations,https://m.media-amazon.com/images/M/MV5BYWRhYWJjNGEtMjNhNi00NzFkLTk1ZGUtNjNmM2FlNTNhNWRjXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,7.9,"245,538",tt0108399,movie,N/A,"$12,281,551",N/A,N/A,True,,
The War Room,1993,PG,01 Jan 1994,96 min,"Documentary, History","Chris Hegedus, D.A. Pennebaker",N/A,"James Carville, George Stephanopoulos, Heather Beckel",A documentary of the Bill Clinton 1992 presidential campaign and the organization who ran it.,"English, American Sign , Portuguese",United States,Nominated for 1 Oscar. 6 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BNzU4NThlNmUtMDdiMi00NzgyLTk4MTQtZTI0NjQ2OTg0ZDFjXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.4,"4,494",tt0108515,movie,N/A,"$901,668",N/A,N/A,True,,
The Pagemaster,1994,G,23 Nov 1994,80 min,"Animation, Adventure, Comedy","Pixote Hunt, Joe Johnston","David Kirschner, David Casci, Ernie Contreras","Macaulay Culkin, Christopher Lloyd, Kanin Howell","A cowardly boy, who buries himself in accident statistics, enters a library to escape a storm, only to be transformed into an animated illustration by the Pagemaster. He has to work through obstacles from classic books to return t...",English,"United States, Taiwan, United Kingdom, Canada",6 nominations,https://m.media-amazon.com/images/M/MV5BZmJjNmY5MmEtMWVmOS00N2UyLWFmZWQtZjkyNDg5NzdjNGMyXkEyXkFqcGdeQXVyMTA1OTAyOTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}]",N/A,6.1,"25,855",tt0110763,movie,N/A,"$13,670,688",N/A,N/A,True,,
"Paris, France",1993,NC-17,04 Feb 1994,112 min,"Comedy, Drama, Thriller",Jerry Ciccoritti,Tom Walmsley,"Leslie Hope, Peter Outerbridge, Victor Ertmanis","Lucy, Michael, and William, owners of a publishing company, face emotional turmoil when Sloan, a former boxer, has an affair with Lucy, leading to confusion and confusion.",English,Canada,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMTgyNzk4Mjk3Nl5BMl5BanBnXkFtZTcwNzIzNjcyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,551,tt0107779,movie,N/A,"$44,159",N/A,N/A,True,,
"The Beans of Egypt, Maine",1994,R,23 Nov 1994,99 min,Drama,Jennifer Warren,"Carolyn Chute, Bill Phillips","Martha Plimpton, Kelly Lynch, Rutger Hauer","Reuben is a drinker and brawler who runs afoul of the law and lands a long prison term. He leaves behind Roberta (Kelly Lynch), his wife and mother of nine. Also part of the extended family is Beal (Patrick McGaw), who becomes Rob...",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BYjNkYWQyOTctMzNkMC00Mzg4LTg2ODAtNDU5YjFiYTVhY2Q4XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,405,tt0109226,movie,N/A,"$73,956",N/A,N/A,True,,
The Killer,2023,R,10 Nov 2023,118 min,"Action, Adventure, Crime",David Fincher,"Alexis Nolent, Luc Jacamon, Andrew Kevin Walker","Michael Fassbender, Tilda Swinton, Charles Parnell","After a fateful near-miss, an assassin battles his employers and himself, on an international manhunt he insists isn't personal.",English,United States,2 wins & 39 nominations,https://m.media-amazon.com/images/M/MV5BYzU2MTlkMTctNWI3MC00ODUzLTlmYzQtMzZjYjVmMmYwZGU0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}]",N/A,6.7,"196,597",tt1136617,movie,N/A,N/A,N/A,N/A,True,,
Welcome to the Dollhouse,1995,R,24 May 1996,88 min,"Comedy, Drama",Todd Solondz,Todd Solondz,"Heather Matarazzo, Christina Brucato, Victoria Davis","An awkward seventh-grader struggles to cope with inattentive parents, snobbish class-mates, a smart older brother, an attractive younger sister and her own insecurities in suburban New Jersey.",English,United States,4 wins & 17 nominations,https://m.media-amazon.com/images/M/MV5BZGI1ZGIzYjctMDAxZC00ZGVlLWI0NGYtMjM0MWM3MTkzYzE2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,7.4,"37,698",tt0114906,movie,N/A,"$4,569,019",N/A,N/A,True,,
Germinal,1993,R,31 Mar 1994,160 min,"Drama, Romance",Claude Berri,"Émile Zola, Claude Berri, Arlette Langmann","Renaud, Gérard Depardieu, Miou-Miou","In mid-nineteenth-century northern France, a coal mining town's workers are exploited by the mine's owner. One day, they decide to go on strike, and the authorities repress them.",French,"France, Belgium, Italy",2 wins & 11 nominations,https://m.media-amazon.com/images/M/MV5BMTAwMzU4M2YtOGUyYS00ZTIxLTgxMDYtY2E3MzNhOGQ2YzhlXkEyXkFqcGdeQXVyNjA0Mzc0MzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}]",N/A,7.1,"5,772",tt0107002,movie,N/A,N/A,N/A,N/A,True,,
Chasers,1994,R,22 Apr 1994,102 min,"Action, Comedy, Drama",Dennis Hopper,"Joe Batteer, John Rice, Dan Gilroy","Tom Berenger, Erika Eleniak, William McNamara",A hapless Navy sailor is assigned SP duty. The catch: he must escort a beautiful female prisoner on her way to prison for going UA. She in turn will try anything to escape.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZWYzOTc5NmMtOTk1ZC00YTc3LThkMTEtMjVkMjdiYWQ1OWI0XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,5.2,"7,289",tt0109403,movie,N/A,"$1,596,687",N/A,N/A,True,,
Cronos,1992,R,01 May 1994,94 min,"Drama, Fantasy, Horror",Guillermo del Toro,Guillermo del Toro,"Federico Luppi, Ron Perlman, Claudio Brook","A mysterious device designed to provide its owner with eternal life resurfaces after four hundred years, leaving a trail of destruction in its path.","Spanish, English",Mexico,24 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BNzBjOWUxMTItYWY1OC00Zjg5LTlhYWMtMjI3YjUyMjVkMWFmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,6.7,"33,491",tt0104029,movie,N/A,"$621,392",N/A,N/A,True,,
Naked in New York,1993,R,13 Apr 1994,95 min,"Comedy, Romance",Daniel Algrant,"Daniel Algrant, John Warren","Eric Stoltz, Mary-Louise Parker, Ralph Macchio","Jake meets Joanne in college. He's into theater, writing plays. She's into photography. They move in together etc. She meets Elliot, owner of a big gallery, works for him and things change.",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BZjgwZjMyN2YtOGU3ZS00Mjg3LWEzNzItNmU0Mjg1YjBlYzU3XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}]",N/A,5.5,"1,737",tt0110623,movie,N/A,"$1,038,959",N/A,N/A,True,,
Bhaji on the Beach,1993,R,01 May 1994,101 min,"Adventure, Comedy, Drama",Gurinder Chadha,"Gurinder Chadha, Meera Syal","Kim Vithana, Jimmi Harkishin, Sarita Khajuria","A group of women of Indian descent take a trip together from their home in Birmingham, England to the beach resort of Blackpool. The events of the day lead them to better mutual understanding and solidarity.","English, Punjabi",United Kingdom,Nominated for 1 BAFTA Award3 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMTYyNTM0Mzk3MF5BMl5BanBnXkFtZTcwNDAzMTgxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",N/A,6.4,"1,256",tt0106408,movie,N/A,"$734,634",N/A,N/A,True,,
